Analysis,Horizon,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,Rb,Sr,Zr,Nb,Ba,La,Yb,Pb,Th,U
EYS10_9,F,77.27,0.10,12.56,1.35,0.04,0.03,0.56,2.97,5.12,214,6.2,218,59,121,83,8.8,40,32,8.1
EYS4_10,G,76.95,0.08,12.24,1.29,0.02,0.03,0.54,3.67,5.18,204,8.0,204,59,127,82,7.8,41,31,7.4
EYS4_13,G,76.73,0.09,12.40,1.28,0.02,0.03,0.56,3.67,5.23,199,7.4,212,60,138,86,7.9,41,33,7.5
EYS4_14,G,77.03,0.09,12.20,1.41,0.02,0.03,0.52,3.42,5.27,209,6.7,212,60,131,80,7.3,40,30,8.0
EYS4_14_2,G,76.90,0.09,12.43,1.33,0.02,0.03,0.55,3.52,5.13,218,7.1,213,62,149,88,9.0,41,31,7.4
EYS4_15,G,77.08,0.09,12.23,1.40,0.02,0.03,0.54,3.41,5.20,220,7.4,230,63,148,92,9.0,41,34,7.2
EYS4_15_2,G,77.33,0.09,12.36,1.28,0.02,0.03,0.59,3.38,4.92,222,7.9,218,63,147,93,7.6,39,36,7.9
EYS4_16,G,76.87,0.09,12.35,1.41,0.02,0.03,0.55,3.44,5.24,213,7.2,217,59,137,85,7.4,39,31,7.6
EYS4_17,G,76.67,0.09,12.44,1.47,0.02,0.03,0.57,3.23,5.48,221,6.5,209,61,129,88,7.9,36,33,7.4
EYS4_18,G,77.03,0.09,12.29,1.35,0.02,0.03,0.57,3.39,5.22,216,6.1,214,60,130,84,7.8,41,33,8.4
EYS4_19,G,76.75,0.09,12.54,1.43,0.02,0.03,0.60,3.26,5.27,216,7.2,227,59,144,91,9.8,43,34,7.0
EYS4_2,G,76.83,0.09,12.32,1.38,0.02,0.03,0.55,3.63,5.16,212,7.9,221,62,127,85,7.8,38,31,7.4
EYS4_20,G,77.16,0.09,12.04,1.37,0.02,0.03,0.61,3.55,5.13,216,6.6,221,63,144,88,8.3,39,31,7.3
EYS4_20_2,G,77.38,0.09,12.04,1.38,0.02,0.03,0.57,3.42,5.09,212,8.2,216,61,147,89,7.8,39,32,7.6
EYS4_21,G,76.74,0.09,12.54,1.37,0.02,0.03,0.55,3.48,5.17,213,8.2,226,59,141,86,9.3,41,35,7.4
EYS4_22,G,76.42,0.09,12.61,1.43,0.02,0.03,0.56,3.59,5.26,212,6.9,218,59,154,90,8.1,39,32,7.0
EYS4_25_2,G,76.74,0.09,12.49,1.33,0.02,0.03,0.55,3.58,5.17,219,7.1,225,60,140,89,8.6,38,33,7.5
EYS4_3,G,77.17,0.08,12.26,1.35,0.02,0.03,0.50,3.50,5.09,218,6.1,209,59,142,80,8.4,40,31,7.2
EYS4_5_2,G,77.22,0.09,12.07,1.40,0.02,0.03,0.55,3.24,5.38,214,7.2,204,62,118,81,8.3,44,29,7.1
EYS4_6,G,76.68,0.09,12.66,1.37,0.02,0.03,0.58,3.30,5.27,208,6.7,218,60,132,84,6.5,40,30,7.7
EYS4_6_2,G,77.14,0.09,12.31,1.33,0.02,0.03,0.54,3.32,5.22,206,6.5,211,61,140,81,8.3,38,30,8.0
EYS4_8,G,76.87,0.08,12.31,1.40,0.02,0.03,0.59,3.30,5.40,204,7.8,204,61,137,83,9.4,39,30,7.9
EYS4_9,G,76.68,0.09,12.48,1.29,0.02,0.03,0.54,3.73,5.14,209,6.6,208,61,132,82,9.1,38,30,7.6
EYS12_1,H,77.41,0.09,12.39,1.32,0.04,0.02,0.52,3.18,5.03,224,7.5,228,62,127,90,8.9,40,33,7.5
EYS12_1_2,H,77.27,0.11,12.26,1.41,0.02,0.04,0.58,3.07,5.23,217,7.0,205,63,133,87,8.5,37,29,7.0
EYS12_10,H,77.51,0.10,12.31,1.34,0.05,0.00,0.57,3.07,5.05,196,6.0,195,51,114,80,9.3,41,35,7.9
EYS12_10_2,H,77.69,0.12,12.37,1.34,0.01,0.00,0.56,3.01,4.88,224,6.6,224,62,124,86,8.5,42,32,7.7
EYS12_11,H,77.42,0.09,12.42,1.33,0.04,0.01,0.58,3.11,5.01,203,6.2,209,57,128,85,7.9,43,33,7.5
EYS12_11_2,H,77.02,0.09,12.39,1.45,0.04,0.03,0.60,3.18,5.20,212,6.9,220,64,139,88,10.2,37,33,7.5
EYS12_12,H,77.10,0.12,12.54,1.43,0.04,0.00,0.57,3.14,5.07,201,5.4,192,52,120,83,7.9,43,33,7.5
EYS12_14,H,77.42,0.09,12.31,1.31,0.00,0.01,0.58,3.25,5.03,221,7.0,231,63,143,93,9.6,40,35,7.6
EYS12_14_2,H,77.23,0.12,12.53,1.35,0.03,0.02,0.55,3.07,5.09,221,6.9,211,61,136,89,8.3,40,30,7.4
EYS12_16,H,77.35,0.11,12.24,1.39,0.04,0.00,0.56,3.33,4.98,220,7.8,224,62,136,94,8.8,42,35,7.9
EYS12_19,H,77.06,0.10,12.47,1.41,0.03,0.00,0.56,3.23,5.12,222,7.5,234,63,136,99,9.0,42,35,8.1
EYS12_19_2,H,77.24,0.07,12.37,1.39,0.01,0.01,0.54,3.13,5.23,229,7.6,231,61,147,94,9.4,40,35,7.8
EYS12_2,H,77.49,0.10,12.33,1.42,0.03,0.02,0.54,3.21,4.86,226,6.8,220,60,127,88,10.5,38,33,7.6
EYS12_2_2,H,77.38,0.08,12.57,1.45,0.04,0.02,0.56,3.05,4.86,212,8.4,212,61,129,88,7.4,38,31,8.2
EYS12_20,H,77.19,0.10,12.07,1.47,0.03,0.01,0.59,3.48,5.07,219,7.3,236,64,134,91,9.0,42,33,8.6
EYS12_21,H,77.42,0.09,12.43,1.40,0.04,0.01,0.54,3.12,4.94,220,7.5,233,63,136,94,8.9,39,31,6.8
EYS12_21_2,H,77.23,0.10,12.39,1.40,0.03,0.01,0.56,3.23,5.05,219,7.1,224,61,123,88,8.1,38,33,7.4
EYS12_23,H,76.98,0.12,12.57,1.47,0.03,0.02,0.59,3.17,5.06,211,7.4,224,61,124,90,8.0,39,32,7.9
EYS12_24,H,77.63,0.11,12.19,1.28,0.03,0.01,0.57,3.04,5.13,208,6.7,212,61,137,89,6.9,39,31,6.7
EYS12_28,H,77.11,0.12,12.49,1.43,0.02,0.01,0.57,3.21,5.04,209,6.5,218,60,138,86,7.5,37,32,7.1
EYS12_28_2,H,77.47,0.10,12.20,1.35,0.04,0.03,0.56,3.18,5.08,215,7.0,232,60,145,91,9.3,38,34,7.4
EYS12_29,H,77.13,0.09,12.42,1.41,0.03,0.02,0.55,3.33,5.01,221,7.6,235,63,126,94,8.9,43,31,7.7
EYS12_29_2,H,77.61,0.12,12.28,1.40,0.04,0.01,0.54,3.06,4.94,220,7.3,223,61,130,92,8.4,40,33,7.7
EYS12_3,H,77.26,0.09,12.54,1.36,0.01,0.02,0.57,2.97,5.18,214,6.8,211,58,129,86,8.7,40,30,7.3
EYS12_31,H,77.21,0.10,12.52,1.30,0.05,0.02,0.57,3.06,5.16,226,8.0,228,64,138,90,9.3,43,30,8.3
EYS12_31_2,H,77.33,0.09,12.41,1.42,0.02,0.01,0.60,3.15,4.96,213,8.1,223,64,120,88,9.5,39,34,7.6
EYS12_32,H,77.47,0.08,12.42,1.38,0.04,0.01,0.59,2.94,5.08,218,8.1,239,62,142,93,8.0,44,33,8.1
EYS12_32_2,H,77.74,0.11,12.39,1.25,0.04,0.01,0.57,2.97,4.91,215,8.2,217,63,139,90,9.2,42,30,7.5
EYS12_34,H,77.40,0.07,12.51,1.40,0.03,0.01,0.54,3.08,4.99,245,2.9,232,68,45,85,10.0,45,37,10.0
EYS12_36,H,77.36,0.11,12.44,1.41,0.05,0.01,0.56,2.91,5.16,212,7.3,223,59,123,85,9.8,39,30,7.5
EYS12_39,H,77.15,0.13,12.44,1.39,0.03,0.02,0.55,3.11,5.18,214,6.8,204,59,133,90,9.3,42,31,7.5
EYS12_4,H,77.97,0.10,12.18,1.35,0.00,0.00,0.55,2.90,4.95,210,6.1,211,62,139,87,9.1,41,33,7.6
EYS12_4_2,H,77.27,0.08,12.46,1.39,0.03,0.00,0.57,3.17,5.04,206,6.6,213,59,123,85,9.7,39,31,6.6
EYS12_41,H,77.29,0.08,12.60,1.41,0.03,0.01,0.55,2.93,5.11,224,7.8,228,62,140,86,8.5,40,31,6.8
EYS12_43,H,77.27,0.12,12.29,1.48,0.04,0.00,0.54,3.07,5.20,216,7.6,218,61,131,85,7.7,42,32,7.6
EYS12_44,H,77.38,0.10,12.63,1.39,0.02,0.01,0.53,2.90,5.05,219,6.7,219,60,123,86,9.3,40,34,7.3
EYS12_47,H,77.83,0.07,12.35,1.38,0.02,0.01,0.55,2.98,4.81,245,3.2,219,69,50,77,9.3,45,36,8.8
EYS12_49,H,77.91,0.08,12.21,1.36,0.02,0.00,0.55,2.74,5.11,215,6.8,224,62,122,85,8.7,41,32,7.6
EYS12_5,H,77.30,0.11,12.37,1.31,0.04,0.01,0.55,3.26,5.04,208,6.9,209,56,131,85,7.8,40,34,7.0
EYS12_5_2,H,77.35,0.11,12.43,1.38,0.02,0.01,0.53,3.15,5.02,203,7.4,212,59,135,83,8.2,40,31,7.1
EYS12_51,H,77.17,0.11,12.60,1.36,0.02,0.02,0.54,3.22,4.96,213,7.4,211,62,142,88,9.5,45,33,8.5
EYS12_54,H,77.68,0.11,12.22,1.54,0.02,0.00,0.54,2.95,4.93,224,8.1,219,63,130,91,8.9,43,35,8.1
EYS12_57,H,76.69,0.10,12.47,1.54,0.03,0.01,0.53,3.50,5.12,212,8.2,229,62,133,88,7.6,42,31,8.5
EYS12_6,H,76.95,0.11,12.44,1.29,0.01,0.01,0.59,3.60,5.01,212,7.2,214,55,136,84,8.0,37,29,7.5
EYS12_60,H,77.70,0.09,12.35,1.32,0.01,0.03,0.54,2.94,5.03,221,8.2,222,62,123,90,8.6,42,31,7.7
EYS12_61,H,77.36,0.12,12.37,1.36,0.00,0.01,0.57,3.20,5.01,214,6.5,225,62,145,88,8.1,41,31,7.6
EYS12_64,H,77.24,0.10,12.57,1.45,0.02,0.01,0.57,2.94,5.10,219,7.4,225,62,138,89,8.2,39,29,7.5
EYS12_65,H,77.24,0.09,12.46,1.45,0.01,0.01,0.57,3.01,5.16,211,6.6,206,61,130,85,6.6,37,30,7.2
EYS12_66,H,76.99,0.09,12.64,1.47,0.03,0.02,0.58,3.10,5.08,213,7.5,215,58,138,85,8.3,41,31,7.2
EYS12_7,H,77.38,0.11,12.40,1.44,0.04,0.00,0.55,3.11,4.97,207,7.6,207,57,129,83,8.7,39,32,7.9
EYS12_7_2,H,77.30,0.10,12.50,1.41,0.02,0.02,0.61,3.01,5.04,224,6.8,217,66,138,94,8.1,40,35,7.4
EYS12_70,H,77.15,0.11,12.56,1.35,0.04,0.01,0.55,3.11,5.12,216,6.5,219,63,132,85,6.9,38,29,7.2
EYS12_8,H,77.61,0.12,12.41,1.48,0.03,0.00,0.54,2.79,5.03,203,6.0,197,56,131,80,8.6,40,32,7.6
EYS12_9,H,77.70,0.10,12.15,1.37,0.06,0.00,0.56,3.02,5.04,205,6.3,204,58,122,84,8.5,42,34,7.7
EYS12_9_2,H,77.47,0.13,12.42,1.42,0.03,0.03,0.54,2.88,5.08,219,6.6,210,61,127,87,7.6,41,31,7.9
EYS14_10,I,77.85,0.09,12.24,1.41,0.03,0.02,0.59,2.86,4.91,228,6.5,216,63,141,87,8.5,44,34,8.1
EYS14_11,I,77.90,0.11,12.04,1.41,0.03,0.01,0.56,2.86,5.08,222,7.9,214,64,127,81,9.9,43,30,7.8
EYS14_13,I,77.64,0.09,12.22,1.37,0.04,0.01,0.58,3.00,5.05,223,7.6,212,61,126,80,8.5,39,29,7.8
EYS14_14,I,77.50,0.09,12.42,1.28,0.04,0.02,0.60,3.11,4.92,223,6.9,214,60,117,83,7.8,42,30,7.6
EYS14_15,I,77.24,0.12,12.50,1.34,0.03,0.01,0.63,3.16,4.98,229,7.6,231,62,141,91,10.1,41,32,7.6
EYS14_16_2,I,77.58,0.11,12.40,1.43,0.02,0.00,0.58,3.07,4.81,220,7.5,209,60,128,88,7.2,41,31,8.3
EYS14_17,I,77.13,0.12,12.59,1.43,0.00,0.01,0.57,3.18,4.96,222,8.8,210,60,138,84,7.5,39,30,7.2
EYS14_18,I,77.77,0.11,12.28,1.28,0.03,0.01,0.55,3.07,4.89,225,6.9,206,61,122,83,6.7,42,29,7.5
EYS14_19,I,77.42,0.12,12.38,1.40,0.03,0.02,0.58,3.14,4.90,218,6.4,212,62,127,82,7.5,42,32,7.9
EYS14_2,I,77.19,0.11,12.37,1.42,0.03,0.02,0.56,3.19,5.11,215,6.6,217,62,139,87,8.9,43,33,7.6
EYS14_2_2,I,77.77,0.13,12.05,1.40,0.03,0.02,0.56,3.01,5.04,224,9.7,210,61,133,89,9.1,40,30,8.2
EYS14_20,I,77.56,0.12,12.26,1.39,0.01,0.02,0.56,2.99,5.09,224,6.3,206,60,142,83,8.9,38,31,7.6
EYS14_21,I,77.34,0.09,12.35,1.43,0.04,0.03,0.60,3.02,5.10,227,5.9,221,63,143,86,7.6,41,31,7.2
EYS14_22,I,77.30,0.11,12.22,1.37,0.02,0.01,0.55,3.34,5.06,223,7.0,215,64,130,89,7.2,41,31,7.1
EYS14_23,I,76.76,0.10,12.59,1.38,0.03,0.00,0.58,3.47,5.08,217,7.5,212,59,122,87,8.7,41,29,7.9
EYS14_26,I,77.43,0.10,12.31,1.51,0.04,0.01,0.57,3.11,4.93,233,6.4,232,63,144,95,9.7,39,33,9.9
EYS14_27,I,77.43,0.12,12.41,1.39,0.01,0.01,0.56,3.02,5.04,223,7.2,219,61,130,87,7.8,42,30,6.9
EYS14_28,I,77.63,0.09,12.14,1.43,0.01,0.03,0.54,3.12,5.02,226,7.9,217,62,129,92,8.0,40,32,7.4
EYS14_3,I,77.07,0.08,12.38,1.46,0.04,0.01,0.59,3.20,5.16,221,7.2,213,59,136,83,8.4,44,32,8.2
EYS14_33,I,77.65,0.10,12.37,1.27,0.02,0.01,0.56,3.00,5.03,231,6.9,218,60,116,88,9.1,40,36,7.7
EYS14_34,I,77.21,0.10,12.35,1.36,0.01,0.00,0.57,3.28,5.11,219,7.5,214,60,129,89,7.6,41,31,7.8
EYS14_34_2,I,77.54,0.11,12.23,1.43,0.02,0.00,0.56,3.10,5.01,223,5.2,219,63,141,89,7.9,42,31,7.6
EYS14_35,I,77.39,0.09,12.39,1.36,0.01,0.00,0.56,3.19,5.01,222,6.3,222,61,122,89,7.6,41,29,7.5
EYS14_36,I,77.33,0.11,12.45,1.39,0.02,0.01,0.57,3.23,4.89,223,7.5,216,60,134,87,6.3,41,30,7.5
EYS14_37,I,77.40,0.11,12.37,1.36,0.04,0.01,0.58,3.07,5.08,219,6.5,201,59,112,83,6.9,39,29,7.7
EYS14_4,I,77.55,0.10,12.30,1.42,0.02,0.02,0.58,3.04,4.97,217,8.4,209,61,143,86,9.2,44,30,7.5
EYS14_41,I,77.45,0.09,12.37,1.34,0.04,0.01,0.58,3.08,5.05,219,6.6,207,60,131,80,10.1,41,30,7.3
EYS14_41_2,I,77.55,0.09,12.34,1.34,0.04,0.00,0.55,3.03,5.06,224,6.8,209,62,124,83,7.6,39,30,7.3
EYS14_43,I,77.81,0.09,12.19,1.33,0.02,0.01,0.60,3.11,4.84,223,6.6,212,60,130,83,8.4,41,32,8.2
EYS14_43_2,I,77.48,0.10,12.21,1.35,0.02,0.02,0.56,3.03,5.22,223,6.6,198,64,125,82,7.5,42,31,7.5
EYS14_47,I,77.49,0.11,12.31,1.41,0.02,0.02,0.56,3.22,4.88,221,6.7,212,60,129,83,7.1,39,30,7.0
EYS14_47_2,I,77.59,0.11,12.10,1.47,0.03,0.02,0.57,3.00,5.11,217,7.9,216,62,134,84,8.7,40,32,8.6
EYS14_5,I,77.33,0.10,12.31,1.39,0.03,0.01,0.56,3.18,5.10,219,6.9,218,60,133,87,8.5,41,31,8.6
EYS14_52,I,77.59,0.13,12.33,1.32,0.04,0.02,0.56,2.97,5.06,220,7.5,203,61,127,81,7.4,41,30,7.2
EYS14_53,I,76.98,0.10,12.64,1.44,0.04,0.03,0.60,3.05,5.11,218,7.5,204,59,114,79,7.4,38,29,7.7
EYS14_54,I,77.42,0.10,12.41,1.44,0.02,0.01,0.57,3.11,4.93,226,7.0,204,59,123,82,7.2,39,30,7.7
EYS14_56,I,77.29,0.12,12.51,1.45,0.03,0.02,0.54,2.93,5.10,219,6.0,198,61,121,82,7.7,36,31,7.2
EYS14_56_2,I,77.07,0.10,12.38,1.38,0.03,0.01,0.57,3.25,5.21,226,6.1,197,59,130,80,9.5,40,32,8.0
EYS14_57,I,77.09,0.08,12.52,1.40,0.04,0.02,0.58,3.32,4.94,257,4.1,208,67,46,76,7.5,47,31,8.0
EYS14_6,I,77.31,0.11,12.43,1.42,0.02,0.02,0.56,2.99,5.14,222,7.1,213,60,128,85,8.1,42,30,8.0
EYS14_8,I,78.00,0.11,12.01,1.39,0.02,0.01,0.56,2.91,4.99,223,7.5,222,58,131,80,7.7,42,27,7.2
EYS14_9,I,77.11,0.11,12.44,1.46,0.04,0.02,0.58,3.15,5.09,222,7.1,209,62,132,84,9.1,41,30,8.2
EYS14_9_2,I,77.48,0.11,12.23,1.45,0.03,0.00,0.57,3.12,5.02,220,7.8,211,63,128,85,7.5,41,33,7.0
EYS16_1,J,77.32,0.09,12.04,1.38,0.02,0.03,0.54,3.27,5.31,217,6.6,232,63,132,91,10.6,40,33,7.5
EYS16_10,J,76.75,0.09,12.43,1.23,0.02,0.03,0.58,3.76,5.11,200,6.0,204,56,128,84,9.3,42,34,7.7
EYS16_10_2,J,77.03,0.09,12.39,1.44,0.02,0.03,0.58,3.25,5.18,222,7.2,224,59,127,88,8.4,40,33,7.7
EYS16_11,J,77.15,0.09,12.26,1.32,0.02,0.03,0.52,3.50,5.10,194,7.6,204,57,118,83,7.1,42,31,7.6
EYS16_11_2,J,77.08,0.09,12.40,1.36,0.02,0.03,0.56,3.19,5.28,212,8.0,237,62,134,94,8.0,41,34,8.0
EYS16_12,J,77.39,0.09,12.21,1.30,0.02,0.02,0.59,3.30,5.09,221,7.2,231,63,135,92,8.5,40,34,8.8
EYS16_13,J,77.12,0.09,12.15,1.42,0.02,0.03,0.60,3.30,5.28,217,7.4,235,64,134,92,8.3,39,31,7.6
EYS16_13_2,J,77.00,0.09,12.21,1.44,0.02,0.03,0.58,3.50,5.13,226,7.1,225,59,129,90,9.7,41,33,8.0
EYS16_14,J,77.34,0.07,12.39,1.35,0.02,0.03,0.51,3.26,5.02,252,2.4,230,69,39,86,9.8,45,36,9.4
EYS16_14_2,J,77.45,0.08,12.19,1.29,0.02,0.03,0.49,3.24,5.20,248,2.2,222,69,42,84,10.2,43,39,9.3
EYS16_16,J,77.15,0.09,12.25,1.29,0.02,0.03,0.52,3.52,5.13,218,6.4,235,65,121,89,9.8,38,33,8.0
EYS16_16_2,J,76.95,0.09,12.36,1.38,0.02,0.03,0.54,3.34,5.30,216,6.8,227,61,136,87,9.2,39,32,8.3
EYS16_17,J,77.25,0.08,12.10,1.41,0.02,0.03,0.54,3.49,5.08,213,7.2,234,63,135,93,8.0,39,33,7.4
EYS16_17_2,J,77.53,0.08,12.03,1.36,0.02,0.03,0.56,3.27,5.12,217,7.1,230,64,138,93,9.2,40,32,7.8
EYS16_18,J,77.17,0.09,12.21,1.42,0.02,0.03,0.57,3.24,5.26,221,8.1,225,62,129,91,9.8,41,36,7.5
EYS16_2,J,77.02,0.08,11.82,1.30,0.02,0.03,0.54,3.84,5.35,210,6.7,218,60,132,86,8.7,42,32,6.7
EYS16_20,J,77.33,0.09,12.16,1.39,0.02,0.03,0.59,3.18,5.22,217,7.3,236,63,130,95,9.0,37,29,7.7
EYS16_20_2,J,77.01,0.09,12.13,1.38,0.02,0.03,0.58,3.47,5.29,214,7.1,225,63,127,87,8.2,39,33,7.4
EYS16_22,J,77.11,0.09,12.40,1.30,0.02,0.03,0.55,3.39,5.11,214,6.8,222,59,134,90,7.9,38,31,7.3
EYS16_23,J,76.89,0.09,12.53,1.41,0.02,0.03,0.53,3.44,5.05,212,6.8,228,59,124,90,7.7,37,32,7.1
EYS16_25,J,77.30,0.09,12.22,1.44,0.02,0.03,0.56,3.36,4.99,223,7.7,233,63,127,92,9.8,42,34,8.1
EYS16_26,J,77.33,0.09,11.94,1.49,0.02,0.03,0.55,3.38,5.17,222,6.9,231,65,120,89,8.4,45,36,7.8
EYS16_28,J,77.36,0.09,12.27,1.33,0.02,0.03,0.55,3.22,5.13,218,6.4,236,64,130,90,8.8,40,33,9.2
EYS16_29,J,76.95,0.09,12.46,1.31,0.02,0.03,0.59,3.28,5.26,213,7.7,208,59,129,87,9.1,40,31,6.8
EYS16_3,J,77.27,0.09,11.99,1.39,0.02,0.03,0.52,3.41,5.27,221,7.4,228,62,130,84,7.3,38,31,7.1
EYS16_3_2,J,77.11,0.08,12.36,1.43,0.02,0.03,0.52,3.51,4.94,219,6.4,211,58,132,89,7.6,39,31,7.6
EYS16_30,J,77.38,0.08,12.15,1.36,0.02,0.03,0.53,3.46,4.97,214,7.0,225,62,133,90,8.0,40,32,7.8
EYS16_32,J,77.11,0.09,12.33,1.41,0.02,0.03,0.56,3.31,5.14,217,6.9,226,59,124,89,8.8,40,31,7.3
EYS16_34,J,76.93,0.08,12.41,1.34,0.02,0.03,0.55,3.40,5.23,216,7.0,234,65,132,90,10.1,41,33,7.6
EYS16_37,J,77.24,0.09,12.23,1.37,0.02,0.03,0.56,3.24,5.22,211,7.4,213,60,121,79,7.7,38,31,7.7
EYS16_38,J,76.99,0.08,12.13,1.50,0.02,0.03,0.54,3.51,5.20,220,6.7,230,63,138,90,8.5,41,33,7.9
EYS16_39,J,76.93,0.09,12.45,1.39,0.02,0.03,0.54,3.17,5.37,221,6.9,215,61,134,89,10.0,39,32,6.8
EYS16_4,J,77.10,0.09,12.61,1.27,0.02,0.03,0.57,3.07,5.25,218,5.7,209,58,122,80,8.1,39,32,7.2
EYS16_4_2,J,76.67,0.09,12.36,1.37,0.02,0.03,0.59,3.54,5.32,205,7.8,216,62,127,82,8.8,39,30,8.2
EYS16_43,J,76.90,0.09,12.47,1.35,0.02,0.03,0.52,3.31,5.31,207,7.1,217,60,131,85,8.0,39,31,7.1
EYS16_46,J,77.28,0.08,12.28,1.46,0.02,0.03,0.56,3.23,5.06,212,7.6,208,59,130,80,8.2,39,35,7.5
EYS16_47,J,77.44,0.09,12.37,1.39,0.02,0.03,0.58,3.12,4.97,219,7.1,224,60,126,81,9.1,41,31,7.4
EYS16_5,J,77.04,0.08,12.17,1.37,0.02,0.03,0.57,3.40,5.31,210,7.4,210,58,121,83,9.6,36,32,7.6
EYS16_5_2,J,77.02,0.09,12.28,1.40,0.02,0.03,0.52,3.41,5.24,220,5.8,211,60,133,84,11.0,39,34,7.8
EYS16_51,J,76.97,0.09,12.56,1.34,0.02,0.03,0.54,3.18,5.28,227,6.2,228,64,147,91,9.3,45,34,8.4
EYS16_52,J,77.00,0.09,12.52,1.38,0.02,0.03,0.56,3.27,5.14,220,7.0,210,58,123,86,7.1,40,33,8.2
EYS16_56,J,76.91,0.09,12.56,1.35,0.02,0.03,0.54,3.45,5.04,217,7.5,216,67,136,96,8.9,41,32,7.5
EYS16_6,J,77.16,0.09,12.19,1.41,0.02,0.03,0.54,3.43,5.14,203,6.2,201,58,134,84,9.6,45,36,7.8
EYS16_61,J,77.38,0.08,12.07,1.40,0.02,0.03,0.57,3.41,5.04,210,6.7,216,61,137,86,7.6,39,30,7.2
EYS16_62,J,77.16,0.08,12.18,1.36,0.02,0.03,0.55,3.36,5.26,215,6.4,223,64,137,91,7.1,39,32,7.7
EYS16_65,J,77.15,0.09,12.21,1.36,0.02,0.03,0.58,3.47,5.10,216,8.2,223,62,140,88,9.0,38,30,7.5
EYS16_66,J,76.98,0.09,12.65,1.38,0.02,0.03,0.56,3.07,5.21,217,7.2,213,62,141,84,8.3,39,30,8.0
EYS16_7,J,77.68,0.09,11.78,1.44,0.02,0.03,0.53,3.37,5.07,202,6.4,198,54,128,81,8.6,42,35,7.3
EYS16_7_2,J,77.06,0.08,12.40,1.33,0.02,0.03,0.57,3.44,5.07,223,6.3,225,62,132,91,10.9,42,34,7.7
EYS16_76,J,77.08,0.09,12.30,1.39,0.02,0.03,0.56,3.29,5.24,214,7.1,226,64,133,88,9.0,37,27,7.4
EYS16_78,J,77.19,0.09,12.22,1.37,0.02,0.03,0.54,3.22,5.31,220,6.6,224,66,131,87,8.0,38,31,7.9
EYS24_1,K,77.08,0.08,12.35,1.53,0.02,0.03,0.55,3.21,5.16,216,5.2,197,57,118,73,6.8,54,24,6.1
EYS24_1_2,K,77.13,0.09,12.27,1.36,0.02,0.03,0.58,3.28,5.24,226,5.7,206,59,111,77,7.2,43,31,7.6
